merchant_id,order_id,product_category,product_price,weight_kg,return_reason,days_since_purchase,distance_km,customer_return_count_90d,order_value_ratio,fraud_score,inspection_status,previous_refurb_count,disposition
m_8,c3653fcc-24e0-4f8d-a5f1-182dc78542c7,electronics,467.64,0.945,defective,9,16.64,0,0.59,0.177,ok,0,refurbish
m_18,e648f3ac-67be-4355-bb60-5c196aefd3fc,clothing,36.36,0.49,not_as_described,1,57.26,0,0.94,0.173,ok,0,resell
m_1,fb5b2872-bdb3-4804-9c20-0bdf562c30c8,electronics,212.59,1.239,late_delivery,5,33.67,0,0.76,0.004,not_inspected,0,refurbish
m_20,bc215740-1147-4133-8a57-c6b91d5ac0a5,electronics,404.93,0.746,not_as_described,4,49.6,0,1.86,0.035,not_inspected,0,refurbish
m_18,b53947c3-9012-4773-af5a-f706264d517e,electronics,384.92,1.353,late_delivery,17,46.53,0,0.91,0.186,not_inspected,0,refurbish
m_9,5bb61325-3966-4963-8477-32187dd8616d,book,82.06,1.055,not_as_described,9,24.82,1,1.0,0.005,not_inspected,0,resell
m_11,4624ec52-b351-42b7-a286-32a4c24190de,electronics,592.5,1.119,not_as_described,4,60.85,1,1.66,0.075,ok,0,refurbish
m_11,23304881-7b5e-4ee1-8bbe-8735af382e99,home,58.03,0.58,not_as_described,2,77.11,0,1.12,0.133,not_inspected,0,resell
m_12,f545ab82-6ec0-4960-8897-6b677a65f1fe,electronics,626.9,1.132,defective,11,91.16,1,0.67,0.019,not_inspected,0,refurbish
m_2,ca747198-bd67-43e7-9544-81b46e0f1e2a,home,54.79,0.606,late_delivery,3,38.13,0,1.91,0.035,not_inspected,0,recycle
m_13,c7445cd6-01e5-49ab-a0ae-22668727b870,book,14.25,0.689,late_delivery,2,53.07,0,0.58,0.031,not_inspected,0,resell
m_20,7659bfaf-6539-4b5b-a515-73f5f2462fe7,electronics,419.0,0.997,late_delivery,1,84.28,0,1.59,0.03,not_inspected,0,refurbish
m_3,69e85a97-a30e-43ac-8e5d-6c2e0dbb1c58,home,38.65,1.069,late_delivery,1,52.99,0,0.52,0.076,not_inspected,0,recycle
m_3,493f97d6-c676-41ab-8363-2e95f1a07141,electronics,509.99,0.936,not_as_described,1,26.5,2,1.49,0.18,ok,0,refurbish
m_15,86a920e8-b049-4b0f-85fc-5c50b194ee53,clothing,19.92,1.176,defective,3,65.66,1,1.46,0.005,not_inspected,0,recycle
m_7,45c452cf-db9e-4b45-9377-e22cb6b9a00d,home,61.71,0.213,not_as_described,8,14.26,0,0.86,0.026,not_inspected,0,recycle
